,Actual,Prediction,Difference
687,6.64,8.56,-1.9189017868041995
688,6.2,8.54,-2.337187576293945
689,5.88,8.5,-2.62311279296875
690,5.72,8.47,-2.7502596664428713
691,5.72,8.44,-2.7208054351806643
692,5.76,8.42,-2.656956901550293
693,5.72,8.4,-2.6759264755249026
694,5.76,8.37,-2.6102135086059572
695,5.72,8.35,-2.62519100189209
696,5.8,8.32,-2.5208694458007814
697,5.84,8.3,-2.459740791320801
698,5.84,8.28,-2.4442531204223634
699,5.92,8.28,-2.3559151458740235
700,5.88,8.27,-2.391141052246094
701,6.0,8.27,-2.2655515670776367
702,6.08,8.26,-2.17576114654541
703,6.12,8.24,-2.1160010147094725
704,6.24,8.21,-1.9659926986694334
705,6.52,8.17,-1.6480126190185551
706,6.72,8.12,-1.4012196350097659
707,6.92,8.07,-1.148817138671875
708,7.16,8.01,-0.8548801803588866
709,7.4,7.97,-0.5710321426391598
710,7.64,7.94,-0.2997587776184085
711,8.0,7.92,0.07663249969482422
712,8.28,7.92,0.3573339271545404
713,8.52,7.93,0.5911560249328609
714,8.76,7.94,0.8159420585632322
715,8.88,7.97,0.9113792228698738
716,8.96,7.99,0.9664659118652352
717,8.96,8.01,0.9467591857910165
718,9.0,8.02,0.9750556945800781
719,9.08,8.03,1.0520840454101563
720,9.12,8.02,1.1012183380126945
721,9.08,8.0,1.0849004554748536
722,9.12,7.96,1.1636100959777824
723,9.16,7.9,1.2561236953735353
724,9.2,7.84,1.3597504615783684
725,9.2,7.77,1.4272276878356926
726,9.16,7.71,1.4512292480468751
727,9.12,7.65,1.4742399406433098
728,9.0,7.59,1.4129672050476074
729,8.84,7.54,1.3031261825561522
730,8.8,7.49,1.3055613517761238
